"Player","Tm","Age","G","win_pct","MP","FG","FGA","X3P","X3PA","FT","FTA","TRB","AST","STL","BLK","PTS","Year","X2P","X2PA","MP_pg","FG_pg","FGA_pg","X3P_pg","X3PA_pg","X2P_pg","X2PA_pg","FT_pg","FTA_pg","TRB_pg","AST_pg","STL_pg","BLK_pg","PTS_pg","Pos","PER","BPM","VORP"
"A.J. Lawson","DAL",23,42,0.643,310.9,54,121,13,50,15,23,50,20,10,3,136,2024,41,71,7.40238095238095,1.28571428571429,2.88095238095238,0.30952380952381,1.19047619047619,0.976190476190476,1.69047619047619,0.357142857142857,0.547619047619048,1.19047619047619,0.476190476190476,0.238095238095238,0.0714285714285714,3.23809523809524,"SG",11.2,-4.6,-0.2
"Aaron Gordon","DEN",28,73,0.671,2296.81,398,716,40,138,177,269,471,259,56,45,1013,2024,358,578,31.4631506849315,5.45205479452055,9.80821917808219,0.547945205479452,1.89041095890411,4.9041095890411,7.91780821917808,2.42465753424658,3.68493150684932,6.45205479452055,3.54794520547945,0.767123287671233,0.616438356164384,13.8767123287671,"PF",16.8,1.3,1.9
"Aaron Holiday","HOU",27,78,0.5,1269.29666666667,186,417,84,217,58,63,123,140,42,6,514,2024,102,200,16.2730341880342,2.38461538461538,5.34615384615385,1.07692307692308,2.78205128205128,1.30769230769231,2.56410256410256,0.743589743589744,0.807692307692308,1.57692307692308,1.79487179487179,0.538461538461538,0.0769230769230769,6.58974358974359,"PG",11.5,-1.5,0.2
"Aaron Nesmith","IND",24,72,0.569,1994.655,315,635,140,334,107,137,275,108,65,49,877,2024,175,301,27.7035416666667,4.375,8.81944444444444,1.94444444444444,4.63888888888889,2.43055555555556,4.18055555555556,1.48611111111111,1.90277777777778,3.81944444444444,1.5,0.902777777777778,0.680555555555556,12.1805555555556,"SF",12.8,-0.5,0.8
"Aaron Wiggins","OKC",25,78,0.705,1227.93833333333,212,377,62,126,56,71,186,86,56,19,542,2024,150,251,15.7427991452991,2.71794871794872,4.83333333333333,0.794871794871795,1.61538461538462,1.92307692307692,3.21794871794872,0.717948717948718,0.91025641025641,2.38461538461538,1.1025641025641,0.717948717948718,0.243589743589744,6.94871794871795,"SG",15.6,0.7,0.8
"Adam Flagler","OKC",24,2,1,14.0166666666667,1,7,1,6,0,0,0,4,0,0,3,2024,0,1,7.00833333333335,0.5,3.5,0.5,3,0,0.5,0,0,0,2,0,0,1.5,"SG",0.6,-10.6,0
"Adama Sanogo","CHI",22,9,0.333,65.7616666666667,14,27,0,0,8,12,36,0,1,0,36,2024,14,27,7.30685185185186,1.55555555555556,3,0,0,1.55555555555556,3,0.888888888888889,1.33333333333333,4,0,0.111111111111111,0,4,"PF",21.9,-6.7,-0.1
"Admiral Schofield","ORL",27,23,0.652,84.3583333333333,10,26,6,16,0,2,17,7,1,0,26,2024,4,10,3.6677536231884,0.434782608695652,1.1304347826087,0.260869565217391,0.695652173913043,0.173913043478261,0.434782608695652,0,0.0869565217391304,0.739130434782609,0.304347826086957,0.0434782608695652,0,1.1304347826087,"PF",6,-4.9,-0.1
"AJ Griffin","ATL",20,20,0.4,170.73,18,62,10,39,2,2,18,5,1,2,48,2024,8,23,8.5365,0.9,3.1,0.5,1.95,0.4,1.15,0.1,0.1,0.9,0.25,0.05,0.1,2.4,"SF",1.2,-9.6,-0.3
"Al Horford","BOS",38,65,0.785,1739.79666666667,214,419,108,258,26,30,413,168,38,62,562,2024,106,161,26.7661025641026,3.29230769230769,6.44615384615385,1.66153846153846,3.96923076923077,1.63076923076923,2.47692307692308,0.4,0.461538461538462,6.35384615384615,2.58461538461538,0.584615384615385,0.953846153846154,8.64615384615385,"C",15,3.6,2.5
