"TEAM_ID","TEAM_NAME","TEAM_ABBREVIATION","GP","G","FGA_FREQUENCY","FGM","FGA","FG_PCT","EFG_PCT","FG2A_FREQUENCY","FG2M","FG2A","FG2_PCT","FG3A_FREQUENCY","FG3M","FG3A","FG3_PCT","Season"
"1610612757","Portland Trail Blazers","POR","82","82","1","3206","6828","0.47","0.526","0.699","2436","4774","0.51","0.301","770","2054","0.375","2013-14"
"1610612765","Detroit Pistons","DET","82","82","1","3182","6721","0.473","0.511","0.766","2675","5145","0.52","0.234","507","1576","0.322","2013-14"
"1610612750","Minnesota Timberwolves","MIN","82","82","1","3184","6705","0.475","0.52","0.742","2585","4972","0.52","0.258","599","1733","0.346","2013-14"
"1610612747","Los Angeles Lakers","LAL","82","82","1","3137","6590","0.476","0.535","0.694","2363","4576","0.516","0.306","774","2014","0.384","2013-14"
"1610612755","Philadelphia 76ers","PHI","82","82","1","3105","6587","0.471","0.515","0.721","2529","4751","0.532","0.279","576","1836","0.314","2013-14"
"1610612743","Denver Nuggets","DEN","82","82","1","3146","6582","0.478","0.531","0.705","2444","4641","0.527","0.295","702","1941","0.362","2013-14"
"1610612742","Dallas Mavericks","DAL","82","82","1","3248","6566","0.495","0.55","0.716","2527","4699","0.538","0.284","721","1867","0.386","2013-14"
"1610612744","Golden State Warriors","GSW","81","81","1","3183","6556","0.486","0.543","0.696","2426","4563","0.532","0.304","757","1993","0.38","2013-14"
"1610612764","Washington Wizards","WAS","81","81","1","3140","6516","0.482","0.531","0.743","2502","4844","0.517","0.257","638","1672","0.382","2013-14"
"1610612738","Boston Celtics","BOS","82","82","1","2996","6508","0.46","0.505","0.737","2421","4794","0.505","0.263","575","1714","0.335","2013-14"
"1610612756","Phoenix Suns","PHX","82","82","1","3168","6505","0.487","0.546","0.686","2403","4460","0.539","0.314","765","2045","0.374","2013-14"
"1610612739","Cleveland Cavaliers","CLE","82","82","1","3034","6492","0.467","0.512","0.749","2450","4861","0.504","0.251","584","1631","0.358","2013-14"
"1610612760","Oklahoma City Thunder","OKC","82","82","1","3194","6486","0.492","0.544","0.719","2530","4661","0.543","0.281","664","1825","0.364","2013-14"
"1610612746","Los Angeles Clippers","LAC","82","82","1","3208","6477","0.495","0.549","0.7","2515","4532","0.555","0.3","693","1945","0.356","2013-14"
"1610612759","San Antonio Spurs","SAS","82","82","1","3326","6465","0.514","0.568","0.731","2628","4726","0.556","0.269","698","1739","0.401","2013-14"
"1610612752","New York Knicks","NYK","82","82","1","3026","6455","0.469","0.527","0.686","2268","4430","0.512","0.314","758","2025","0.374","2013-14"
"1610612753","Orlando Magic","ORL","82","82","1","3018","6331","0.477","0.521","0.751","2456","4752","0.517","0.249","562","1579","0.356","2013-14"
"1610612763","Memphis Grizzlies","MEM","82","82","1","3121","6310","0.495","0.527","0.819","2716","5167","0.526","0.181","405","1143","0.354","2013-14"
"1610612761","Toronto Raptors","TOR","81","81","1","2960","6287","0.471","0.527","0.702","2254","4411","0.511","0.298","706","1876","0.376","2013-14"
"1610612737","Atlanta Hawks","ATL","81","81","1","3020","6255","0.483","0.544","0.669","2260","4184","0.54","0.331","760","2071","0.367","2013-14"
"1610612740","New Orleans Pelicans","NOP","82","82","1","3100","6251","0.496","0.535","0.795","2615","4968","0.526","0.205","485","1283","0.378","2013-14"
"1610612762","Utah Jazz","UTA","82","82","1","2950","6247","0.472","0.516","0.75","2407","4683","0.514","0.25","543","1564","0.347","2013-14"
"1610612766","Charlotte Bobcats","CHA","81","81","1","2938","6240","0.471","0.512","0.77","2427","4803","0.505","0.23","511","1437","0.356","2013-14"
"1610612749","Milwaukee Bucks","MIL","81","81","1","2915","6238","0.467","0.511","0.756","2373","4716","0.503","0.244","542","1522","0.356","2013-14"
"1610612758","Sacramento Kings","SAC","81","81","1","2973","6209","0.479","0.517","0.769","2496","4772","0.523","0.231","477","1437","0.332","2013-14"
"1610612754","Indiana Pacers","IND","82","82","1","2948","6194","0.476","0.52","0.752","2399","4658","0.515","0.248","549","1536","0.357","2013-14"
"1610612745","Houston Rockets","HOU","82","82","1","3117","6137","0.508","0.571","0.648","2338","3975","0.588","0.352","779","2162","0.36","2013-14"
"1610612741","Chicago Bulls","CHI","82","82","1","2837","6071","0.467","0.509","0.764","2331","4641","0.502","0.236","506","1430","0.354","2013-14"
"1610612748","Miami Heat","MIA","82","82","1","3142","6015","0.522","0.578","0.697","2477","4194","0.591","0.303","665","1821","0.365","2013-14"
"1610612751","Brooklyn Nets","BKN","81","81","1","2871","5959","0.482","0.54","0.685","2180","4084","0.534","0.315","691","1875","0.369","2013-14"
"1610612744","Golden State Warriors","GSW","82","82","1","3410","6844","0.498","0.563","0.678","2527","4642","0.544","0.322","883","2202","0.401","2014-15"
"1610612738","Boston Celtics","BOS","82","82","1","3188","6769","0.471","0.52","0.704","2529","4766","0.531","0.296","659","2003","0.329","2014-15"
"1610612757","Portland Trail Blazers","POR","82","82","1","3175","6752","0.47","0.53","0.672","2368","4540","0.522","0.328","807","2212","0.365","2014-15"
"1610612760","Oklahoma City Thunder","OKC","82","82","1","3177","6731","0.472","0.519","0.725","2546","4880","0.522","0.275","631","1851","0.341","2014-15"
"1610612742","Dallas Mavericks","DAL","82","82","1","3255","6722","0.484","0.539","0.691","2523","4646","0.543","0.309","732","2076","0.353","2014-15"
"1610612756","Phoenix Suns","PHX","82","82","1","3178","6700","0.474","0.526","0.696","2480","4666","0.532","0.304","698","2034","0.343","2014-15"
"1610612743","Denver Nuggets","DEN","82","82","1","3099","6652","0.466","0.515","0.699","2439","4647","0.525","0.301","660","2005","0.329","2014-15"
"1610612765","Detroit Pistons","DET","82","82","1","3041","6646","0.458","0.51","0.695","2338","4618","0.506","0.305","703","2028","0.347","2014-15"
"1610612747","Los Angeles Lakers","LAL","82","82","1","3054","6624","0.461","0.501","0.769","2522","5091","0.495","0.231","532","1533","0.347","2014-15"
"1610612746","Los Angeles Clippers","LAC","82","82","1","3228","6585","0.49","0.553","0.667","2401","4392","0.547","0.333","827","2193","0.377","2014-15"
"1610612766","Charlotte Hornets","CHA","82","82","1","2912","6491","0.449","0.487","0.761","2414","4938","0.489","0.239","498","1553","0.321","2014-15"
"1610612759","San Antonio Spurs","SAS","82","82","1","3208","6490","0.494","0.546","0.718","2531","4659","0.543","0.282","677","1831","0.37","2014-15"
"1610612764","Washington Wizards","WAS","82","82","1","3139","6440","0.487","0.526","0.787","2642","5068","0.521","0.213","497","1372","0.362","2014-15"
"1610612751","Brooklyn Nets","BKN","82","82","1","3069","6432","0.477","0.519","0.747","2528","4807","0.526","0.253","541","1625","0.333","2014-15"
"1610612754","Indiana Pacers","IND","82","82","1","2992","6424","0.466","0.513","0.732","2381","4700","0.507","0.268","611","1724","0.354","2014-15"
"1610612761","Toronto Raptors","TOR","82","82","1","3108","6416","0.484","0.541","0.681","2382","4372","0.545","0.319","726","2044","0.355","2014-15"
"1610612753","Orlando Magic","ORL","82","82","1","3072","6345","0.484","0.528","0.749","2518","4753","0.53","0.251","554","1592","0.348","2014-15"
"1610612741","Chicago Bulls","CHI","82","82","1","2993","6340","0.472","0.523","0.718","2349","4549","0.516","0.282","644","1791","0.36","2014-15"
