"Rnk","Team","Gms","poss","seconds&nbsp ▲...5","seconds&nbsp ▲...6","points...7","points...8","%...9","seconds...10","seconds...11","points...12","points...13","%...14","seconds...15","seconds...16","points...17","points...18","%...19","seconds...20","seconds...21","points...22","points...23","Season","Year"
"1","PHX","82","7,865","14.6","1","1.07","6","54%","17.4","2","1.04","7","33%","11.2","2","1.08","2","11%","10.4","3","1.12","21",1997,1997
"2","PHI","82","8,101","14.7","2","1.01","26","54%","17.0","1","0.97","26","32%","12.0","8","1.03","15","11%","10.7","6","1.11","24",1997,1997
"3","WAS","82","7,817","14.8","3","1.04","13","52%","17.8","6","1.00","17","34%","11.5","3","1.05","11","12%","10.6","5","1.16","15",1997,1997
"4","BOS","82","8,104","14.8","4","1.02","24","55%","17.9","7","0.97","25","30%","10.9","1","1.01","22","13%","10.4","2","1.18","8",1997,1997
"5","SEA","80","7,410","14.9","5","1.09","3","50%","17.8","5","1.06","5","32%","11.9","7","1.07","4","15%","11.0","10","1.15","18",1997,1997
"6","NYK","82","7,664","15.0","6","1.02","23","50%","17.6","4","1.00","14","36%","12.1","11","1.00","25","12%","11.8","20","1.11","25",1997,1997
"7","GSW","81","7,749","15.0","7","1.04","11","55%","17.6","3","1.00","16","32%","12.0","9","1.06","7","11%","10.8","7","1.18","11",1997,1997
"8","DEN","82","7,835","15.2","8","1.02","20","55%","17.9","8","1.01","13","34%","11.7","4","1.01","23","9%","11.4","15","1.15","17",1997,1997
"9","LAL","82","7,751","15.3","9","1.06","8","51%","18.1","10","1.01","11","34%","12.2","13","1.05","8","13%","11.7","18","1.19","7",1997,1997
"10","CHI","82","7,575","15.3","10","1.12","1","51%","17.9","9","1.10","1","35%","12.6","19","1.11","1","12%","11.3","12","1.21","4",1997,1997
"11","IND","82","7,547","15.3","11","1.04","15","53%","18.5","18","0.99","20","34%","11.7","5","1.06","5","11%","10.9","9","1.11","26",1997,1997
"12","UTA","82","7,588","15.3","12","1.11","2","51%","18.3","13","1.07","2","34%","12.4","16","1.08","3","13%","11.3","13","1.23","3",1997,1997
"13","NJN","82","7,844","15.4","13","1.02","25","53%","18.3","14","0.99","19","33%","12.3","14","1.01","24","12%","11.1","11","1.17","12",1997,1997
"14","SAC","82","7,721","15.4","14","1.02","19","54%","18.6","20","1.00","18","33%","11.8","6","1.02","17","11%","10.4","1","1.07","28",1997,1997
"15","POR","82","7,702","15.4","15","1.05","10","51%","18.4","15","1.03","9","35%","12.7","20","1.03","14","11%","10.6","4","1.20","5",1997,1997
"16","HOU","82","7,733","15.4","16","1.07","7","50%","18.3","11","1.07","3","36%","13.0","24","0.99","27","11%","10.9","8","1.16","16",1997,1997
"17","MIN","82","7,651","15.5","17","1.03","17","53%","18.4","16","1.00","15","33%","12.1","12","1.02","18","11%","11.5","16","1.14","20",1997,1997
"18","CHH","82","7,502","15.6","18","1.08","4","53%","18.3","12","1.06","4","34%","12.7","21","1.05","10","11%","11.5","17","1.20","6",1997,1997
"19","MIA","82","7,461","15.7","19","1.04","12","51%","18.4","17","0.99","21","35%","12.9","23","1.04","12","12%","11.8","19","1.25","2",1997,1997
"20","LAC","82","7,750","15.7","20","1.03","18","53%","18.5","19","0.97","27","32%","12.3","15","1.05","9","12%","11.9","22","1.16","13",1997,1997
"21","DAL","81","7,422","15.9","21","0.99","28","53%","18.8","21","0.93","29","33%","12.5","17","1.02","20","12%","11.8","21","1.12","22",1997,1997
"22","MIL","82","7,521","16.0","22","1.04","14","53%","18.9","22","1.03","8","33%","12.6","18","1.01","21","11%","12.0","24","1.12","23",1997,1997
