"TEAM_ID","TEAM_NAME","GP","W","L","W_PCT","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","PTS","PLUS_MINUS","Season"
"1610612737","Atlanta Hawks","82","56","26","0.683","3961","2812","6307","0.446","659","1833","0.36","1491","1955","0.763","7774","446","1996-97"
"1610612738","Boston Celtics","82","15","67","0.183","3981","3066","6967","0.44","467","1331","0.351","1649","2199","0.75","8248","-601","1996-97"
"1610612766","Charlotte Hornets","82","54","28","0.659","3960.83333333333","2988","6342","0.471","591","1382","0.428","1541","1984","0.777","8108","153","1996-97"
"1610612741","Chicago Bulls","82","69","13","0.841","3945.83333333333","3277","6923","0.473","523","1403","0.373","1381","1848","0.747","8458","886","1996-97"
"1610612739","Cleveland Cavaliers","82","42","40","0.512","3971","2704","5972","0.453","483","1284","0.376","1282","1773","0.723","7173","151","1996-97"
"1610612742","Dallas Mavericks","82","24","58","0.293","3960.97","2812","6451","0.436","429","1315","0.326","1375","1918","0.717","7428","-522","1996-97"
"1610612743","Denver Nuggets","82","21","61","0.256","3986","2934","6687","0.439","636","1711","0.372","1516","1992","0.761","8020","-515","1996-97"
"1610612765","Detroit Pistons","82","54","28","0.659","3966","2827","6095","0.464","582","1499","0.388","1487","1995","0.745","7723","430","1996-97"
"1610612744","Golden State Warriors","82","30","52","0.366","3980.68166666667","2996","6566","0.456","481","1363","0.353","1696","2180","0.778","8169","-388","1996-97"
"1610612745","Houston Rockets","82","57","25","0.695","3970.90833333333","3037","6484","0.468","671","1839","0.365","1503","1992","0.755","8248","367","1996-97"
"1610612754","Indiana Pacers","82","39","43","0.476","3986","2851","6254","0.456","430","1130","0.381","1687","2336","0.722","7819","80","1996-97"
"1610612746","Los Angeles Clippers","82","36","46","0.439","3986","2989","6696","0.446","474","1339","0.354","1517","2074","0.731","7969","-193","1996-97"
"1610612747","Los Angeles Lakers","82","56","26","0.683","3986","3018","6642","0.454","551","1500","0.367","1613","2330","0.692","8200","350","1996-97"
"1610612748","Miami Heat","82","61","21","0.744","3961","2822","6235","0.453","678","1865","0.364","1454","2022","0.719","7776","450","1996-97"
"1610612749","Milwaukee Bucks","82","33","49","0.402","3946","2967","6303","0.471","324","920","0.352","1560","2104","0.741","7818","-155","1996-97"
"1610612750","Minnesota Timberwolves","82","40","42","0.488","3956","2937","6436","0.456","371","1093","0.339","1637","2180","0.751","7882","-121","1996-97"
"1610612751","New Jersey Nets","82","26","56","0.317","3956","2994","7091","0.422","484","1371","0.353","1502","2031","0.74","7974","-374","1996-97"
"1610612752","New York Knicks","82","57","25","0.695","3971","2882","6227","0.463","470","1294","0.363","1585","2119","0.748","7819","256","1996-97"
"1610612753","Orlando Magic","82","45","37","0.549","3971","2839","6497","0.437","567","1662","0.341","1474","1975","0.746","7719","-29","1996-97"
"1610612755","Philadelphia 76ers","82","22","60","0.268","3955.90833333333","3003","6850","0.438","433","1356","0.319","1776","2450","0.725","8215","-536","1996-97"
"1610612756","Phoenix Suns","82","40","42","0.488","3971","3143","6705","0.469","527","1428","0.369","1618","2125","0.761","8431","54","1996-97"
"1610612757","Portland Trail Blazers","82","49","33","0.598","3971","3000","6465","0.464","501","1401","0.358","1613","2261","0.713","8114","342","1996-97"
"1610612758","Sacramento Kings","82","34","48","0.415","3962.48733333333","3000","6611","0.454","414","1058","0.391","1494","2067","0.723","7908","-321.2","1996-97"
"1610612759","San Antonio Spurs","82","20","62","0.244","3946","2827","6391","0.442","378","1180","0.32","1386","1929","0.719","7418","-646","1996-97"
"1610612760","Seattle SuperSonics","82","57","25","0.695","3955.65166666667","2994","6413","0.467","559","1583","0.353","1725","2295","0.752","8272","633","1996-97"
"1610612761","Toronto Raptors","82","30","52","0.366","3966","2897","6632","0.437","589","1624","0.363","1446","2008","0.72","7829","-256","1996-97"
"1610612762","Utah Jazz","82","64","18","0.78","3966","3131","6216","0.504","334","902","0.37","1858","2416","0.769","8454","721","1996-97"
"1610612763","Vancouver Grizzlies","82","14","68","0.171","3956","2819","6453","0.437","445","1274","0.349","1230","1734","0.709","7313","-839","1996-97"
"1610612764","Washington Bullets","82","44","38","0.537","3971","3208","6678","0.48","331","1001","0.331","1400","1979","0.707","8147","133","1996-97"
"1610612737","Atlanta Hawks","82","50","32","0.61","3975.99666666667","2887","6352","0.455","337","1016","0.332","1749","2314","0.756","7860","288","1997-98"
"1610612738","Boston Celtics","82","36","46","0.439","3946","3012","6934","0.434","415","1249","0.332","1425","1964","0.726","7864","-215","1997-98"
"1610612766","Charlotte Hornets","82","51","31","0.622","3956","2968","6344","0.468","346","904","0.383","1641","2186","0.751","7923","164","1997-98"
"1610612741","Chicago Bulls","82","62","20","0.756","3971","3064","6801","0.451","311","962","0.323","1492","2009","0.743","7931","583","1997-98"
"1610612739","Cleveland Cavaliers","82","47","35","0.573","3966","2817","6207","0.454","298","801","0.372","1653","2187","0.756","7585","224","1997-98"
"1610612742","Dallas Mavericks","82","20","62","0.244","3980.69333333333","2882","6753","0.427","422","1183","0.357","1308","1738","0.753","7494","-501","1997-98"
"1610612743","Denver Nuggets","82","11","71","0.134","3945.885","2677","6411","0.418","288","893","0.323","1658","2147","0.772","7300","-966","1997-98"
"1610612765","Detroit Pistons","82","37","45","0.451","3990.885","2862","6373","0.449","293","938","0.312","1704","2288","0.745","7721","129","1997-98"
"1610612744","Golden State Warriors","82","19","63","0.232","3966","2845","6883","0.413","189","696","0.272","1358","1912","0.71","7237","-748","1997-98"
"1610612745","Houston Rockets","82","41","41","0.5","3966","2946","6513","0.452","573","1670","0.343","1634","2120","0.771","8099","-62","1997-98"
"1610612754","Indiana Pacers","82","58","24","0.707","3966","2921","6223","0.469","401","1029","0.39","1631","2136","0.764","7874","499","1997-98"
"1610612746","Los Angeles Clippers","82","17","65","0.207","3955.825","2930","6690","0.438","525","1468","0.358","1480","2047","0.723","7865","-604","1997-98"
"1610612747","Los Angeles Lakers","82","61","21","0.744","3965.98166666667","3146","6536","0.481","497","1415","0.351","1863","2743","0.679","8652","635","1997-98"
"1610612748","Miami Heat","82","55","27","0.671","3951","2850","6327","0.45","548","1544","0.355","1539","2082","0.739","7787","404","1997-98"
"1610612749","Milwaukee Bucks","82","36","46","0.439","3985.97166666667","2918","6399","0.456","249","703","0.354","1663","2167","0.767","7748","-157","1997-98"
"1610612750","Minnesota Timberwolves","82","45","37","0.549","3985.98333333333","3157","6844","0.461","303","873","0.347","1673","2253","0.743","8290","58","1997-98"
"1610612751","New Jersey Nets","82","43","39","0.524","3975.99833333333","3055","6928","0.441","310","937","0.331","1750","2351","0.744","8170","129","1997-98"
"1610612752","New York Knicks","82","43","39","0.524","3966","2864","6413","0.447","382","1139","0.335","1399","1812","0.772","7509","202","1997-98"
"1610612753","Orlando Magic","82","41","41","0.5","3966","2771","6455","0.429","293","907","0.323","1552","2138","0.726","7387","-88","1997-98"
"1610612755","Philadelphia 76ers","82","31","51","0.378","3950.99833333333","2837","6409","0.443","243","810","0.3","1734","2352","0.737","7651","-196","1997-98"
"1610612756","Phoenix Suns","82","56","26","0.683","3990.99833333333","3138","6710","0.468","431","1211","0.356","1459","1948","0.749","8166","425","1997-98"
"1610612757","Portland Trail Blazers","82","46","36","0.561","3966","2885","6397","0.451","324","1047","0.309","1640","2226","0.737","7734","115","1997-98"
"1610612758","Sacramento Kings","82","27","55","0.329","3946","2957","6684","0.442","283","806","0.351","1440","2096","0.687","7637","-458","1997-98"
"1610612759","San Antonio Spurs","82","56","26","0.683","3965.84166666667","2898","6187","0.468","302","863","0.35","1489","2164","0.688","7587","327","1997-98"
"1610612760","Seattle SuperSonics","82","61","21","0.744","3951","3052","6459","0.473","621","1571","0.395","1521","2109","0.721","8246","588","1997-98"
"1610612761","Toronto Raptors","82","16","66","0.195","3986","2965","6813","0.435","372","1086","0.343","1479","2060","0.718","7781","-760","1997-98"
"1610612762","Utah Jazz","82","62","20","0.756","3955.99833333333","2993","6113","0.49","249","670","0.372","2044","2644","0.773","8279","536","1997-98"
"1610612763","Vancouver Grizzlies","82","19","63","0.232","3966","3006","6567","0.458","325","898","0.362","1586","2145","0.739","7923","-599","1997-98"
